area	caller	action_or_method	behavior	baseline_risk
UI	page/dashboard.php	check_default_password	Membuka forced-change modal berdasarkan session flag	Backend tidak menguatkuasakan sekatan
UI	page/dashboard.php	action_change_password	Menghantar current/new/confirmation	Tiada double-submit atau transport feedback
Guard	lib/request_security.php	check_default_password; action_change_password	Authenticated user dan CSRF diperlukan	Kawalan asas baik
Endpoint	lib/q_func.php	check_default_password	Membaca password_change_required daripada PHP session	Boleh stale berbanding database
Endpoint	lib/q_func.php	action_change_password	Verify, update, revoke, reissue dan audit secara sequential	Tiada transaction/complete result checks
Policy	lib/auth_security.php	oneid_validate_new_password	Minimum 12 + upper/lower/number/symbol	Tiada same/current, history atau compromised check
Persistence	lib/Database.php	verify_user_password	Verifikasi hash dan migration legacy jika berkaitan	Tiada endpoint-specific rate limit
Persistence	lib/Database.php	set_user_password	Modern hash dan clear/set required flag	Mutation tunggal sahaja
Persistence	lib/Database.php	update_whole_token_status; add_new_token	Revoke semua dan cipta replacement	Bukan satu transaction dengan password
Persistence	lib/Database.php	action_change_password	Legacy direct password writer	Footgun; tiada caller aktif ditemui
Session	lib/session_security.php	oneid_establish_authenticated_session	Memuat password_change_required ke session	Tidak disegar semula setiap protected request
Audit	syslog_event_conf	20;21	Attempt dan success	Tiada correlation/structured reason
