id	decision_required	recommended_decision	status	owner_evidence
UC-D01	Behavior selepas voluntary password change	Kekalkan browser semasa selepas rotate PHP session, CSRF dan SSO token	APPROVED_IMPLEMENTED	Owner mengarahkan UC2 dan fasa berikutnya pada 16 Julai 2026
UC-D02	Behavior selepas forced/admin reset change	Wajib login semula selepas perubahan berjaya	APPROVED_IMPLEMENTED	Owner mengarahkan UC2 dan fasa berikutnya pada 16 Julai 2026
UC-D03	Forced-change access policy	Benarkan hanya status, change password dan logout sehingga selesai	APPROVED_IMPLEMENTED	Owner mengarahkan UC2 dan fasa berikutnya pada 16 Julai 2026
UC-D04	Current-password rate limit	5 kegagalan per 15 minit per user+IP	APPROVED_IMPLEMENTED	Owner mengarahkan UC2 dan fasa berikutnya pada 16 Julai 2026
UC-D05	Password baharu sama dengan semasa	Sentiasa tolak	APPROVED_IMPLEMENTED	Owner mengarahkan UC2 dan fasa berikutnya pada 16 Julai 2026
UC-D06	Password history	Simpan 5 hash terdahulu dengan retention terkawal	APPROVED_IMPLEMENTED	Owner mengarahkan UC2 dan fasa berikutnya pada 16 Julai 2026
UC-D07	Common/compromised password screening	Gunakan local predictable-password denylist dan user-context check	APPROVED_IMPLEMENTED	Owner mengarahkan UC2 dan fasa berikutnya pada 16 Julai 2026
UC-D08	Token selepas password change	Revoke semua token; hanya replacement terkawal untuk voluntary flow	APPROVED_IMPLEMENTED	Owner mengarahkan UC2 dan fasa berikutnya pada 16 Julai 2026
UC-D09	OTP aktif selepas password change	Invalidate semua OTP/password-reset challenge aktif	APPROVED_IMPLEMENTED	Owner mengarahkan UC2 dan fasa berikutnya pada 16 Julai 2026
UC-D10	Audit rejected attempt	Reason code selamat + correlation; tiada password/hash/token/OTP	APPROVED_IMPLEMENTED	Owner mengarahkan UC2 dan fasa berikutnya pada 16 Julai 2026
UC-D11	Session dan CSRF	Rotate kedua-duanya selepas success	APPROVED_IMPLEMENTED	Owner mengarahkan UC2 dan fasa berikutnya pada 16 Julai 2026
UC-D12	Legacy action_change_password method	Retire selepas caller contract mengesahkan tiada penggunaan	APPROVED_IMPLEMENTED	Owner mengarahkan UC2 dan fasa berikutnya pada 16 Julai 2026
